carreraID,asignatura,anio_cursado,tipo_duracion
2,Historia de la Psicologia,1,primer semestre
2,Biologia General y Humana,1,primer semestre
2,Psicologia General,1,primer semestre
2,Informatica Aplicada,1,primer semestre
2,Ingles I,1,primer semestre
2,Perspetivas Antropologicas,1,primer semestre
2,Corrientes Actuales en Psicologia,1,segundo semestre
2,Neutobiologia I,1,segundo semestre
2,Sociologia Enfoque en Redes,1,segundo semestre
2,Fundamentos del Pensamiento Cientifico y Epistemologia,1,segundo semestre
2,Ingles II,1,segundo semestre
2,Psicologia y Problematica Socio-Cultural Actual.,1,segundo semestre
2,Psicologia Social,2,primer semestre
2,Neutobiologia II,2,primer semestre
2,Psicologia del Desarrollo I (infancia-adolecencia),2,primer semestre
2,Psicologia de la Personalidad,2,primer semestre
2,Problemas Filosoficos en Psicologia,2,primer semestre
2,Psicoestadistica,2,segundo semestre
2,Psicologia del Desarrollo II (adultez-senectud),2,segundo semestre
"2,""Etica, Deontologia y Legislacion Profesional"",2,segundo semestre"
2,Psicopatologia I,2,segundo semestre
2,Integracion Practica I,2,segundo semestre
2,Optativa I - Perspectivas de Investigacion en Psicologia,2,primer semestre
2,Optativa I - Psicologia del Deposte y la Actividad Fisica,2,primer semestre
2,Optativa II - Consumo Problematico del Alcohol y Otras Drogas,2,segundo semestre
2,Optativa II - Problematica Psico-Social de Ninios y Adolecentes en Conflicto con la Ley Penal,2,segundo semestre
2,Psicologia Humanistica y Existencial,3,primer semestre
2,Metodos de Investigacion I,3,primer semestre
2,Psicologia Sistemico Comunicacional,3,segundo semestre
2,Psicologia Cognitivo Conductual,3,primer semestre
2,Metodos de Investigacion II,3,segundo semestre
2,Psicopatologia II,3,segundo semestre
2,Teoria Psicoanalitica,3,segundo semestre
2,Integracion Practica II,3,segundo semestre
2,Salud Mental Comunitaria,3,segundo semestre
2,Optativo III - Prevencion y Promocion de Salud en la Tercera Edad,3,primer semestre
2,Optatitiva III - Teoria y Procedimientos de Intervencion Grupal,3,primer semestre
2,Optativa IV - Gestion Colaborativa de Conflictos,3,segundo semestre
2,Optativa IV - Abordaje Psicologico de las Personas con Discapacidad,3,segundo semestre
2,Psicologia de las Organizaciones,4,primer semestre
2,Evaluacion y Diagnostico Psicologico I,4,primer semestre
2,Intervencion y Tratamiento Psicologico Psicoanalitico,4,primer semestre
2,Intervencion y Tratamiento Psicologico Cognitivo Conductual,4,primer semestre
2,Psicologia Educacional,4,primer semestre
2,Orientacion y Terapia Familiar,4,primer semestre
2,Evaluacion y Diagnostico Psicologico II,4,segundo semestre
2,Intervencion y Tratamiento Psicologico Humanistico-Existencial,4,segundo semestre
2,Intervencion y Tratamiento Psicologico Sistemico-Comunicacional,4,segundo semestre
2,Integracion Practica III,4,segundo semestre
2,Psicofarmacologia,4,segundo semestre
2,PPS-Salud Mental Comunitaria,4,primer semestre
2,PPS-Psicologia Organizacional,4,segundo semestre
2,PPS-Psicologia Eduacional,4,segundo semestre
2,Abordaje Integrado del Paciente Cronico,5,primer semestre
2,Psicologia Juridico Forense,5,primer semestre
2,Principios de Intervencion Clinica,5,anual
2,Seminario Trabajo Integrador Final-TIF,5,anual
2,PPS-Clinica Psicoanalitica-Psicodinamica,5,anual
2,PPS-Clinico Humanistico Existencial,5,anual
2,PPS-Clinica Cognitivo Conductual,5,anual
2,PPS-Clinica Sistemico Comunicacional,5,anual
2,PPS-Orientacion Juridico Forense,5,segundo semestre
1,Anatomia,1,anual
1,Fisiologia,1,anual
1,Histologia,1,anual
1,Fisica Biologica,1,anual
1,Psicologia Medica,1,segundo semestre
1,Ingles I,1,primer semestre
1,Seminario I (Bioquimica),1,anual
1,Biomecanica,2,anual
1,Tecnicas Kinesicas I,2,anual
1,Semiopatologia Medico Kinesica,2,anual
1,Kinefilaxia,2,anual
1,Ingles II (promocional),2,segundo semestre
1,ortesis y Protesis,2,primer semestre
1,Psicomotricidad,2,anual
1,Seminario II (Diagnostico por Imagen) (promocional),2,anual
1,Tecnicas Kinesicas II,3,anual
1,Semiopatologia Quirurgico Kinesica,3,anual
1,Kinesiologia Medica,3,anual
1,Fisioterapia,3,anual
1,Ingles III (promocional),3,primer semestre
1,Kinefisiatria Estetica,3,segundo semestre
1,Bioinformatica y Rehabilitacion Computacional,3,anual
1,Seminario III (Neurologia - PPS Practica Profesional Supervisada),3,anual
1,Kinesiologia Quirurgica,4,anual
1,Kinesiologia Legal,4,primer semestre
1,Deportismo,4,anual
1,Ingles IV,4,segundo semestre
1,Farmacologia Electrofisiokinesica,4,anual
1,Organizacion Hospitalaria Institucional y Centros de Rehabilitacion,4,anual
1,Kinefisiatria Ocupacional y Laboral,4,anual
1,Metodologia de la Investigacion,4,anual
1,Seminario IV (PPS Practica Profesional Supervisada),4,anual
3,Fisico-Quimica,1,primer semestre
3,Bioquimica,1,segundo semestre
3,Anatomia I,1,primer semestre
3,Anatomia II,1,segundo semestre
3,Fundamentos de Alimentacion I,1,primer semestre
3,Fundamentos de Alimentacion II,1,segundo semestre
3,Nutricion Normal I,1,segundo semestre
3,Saneamiento Ambiental,1,primer semestre
3,Informatica I,1,segundo semestre
3,Ingles I,1,primer semestre
3,Antropologia Social,2,segundo semestre
3,Fisiologia I,2,primer semestre
3,Fisiologia II,2,segundo semestre
3,Bromatologia,2,primer semestre
3,Tecnologia Alimentaria,2,segundo semestre
3,Microbiologia y Parasitologia,2,segundo semestre
3,Ingles II,2,primer semestre
3,Informatica II,2,primer semestre
3,Estadistica y Bioestadistica,2,segundo semestre
3,Nutricion Normal II,2,primer semestre
3,Nutricion Materno Infantil,2,segundo semestre
3,Fisiopatologia y Dietoterapia del Ninio I,3,primer semestre
3,Fisiopatologia y Dietoterapia del Adulto I,3,primer semestre
3,Fisiopatologia y Dietoterapia del Ninio II,3,segundo semestre
3,Fisiopatologia y Dietoterapia del Adulto II,3,segundo semestre
3,Tecnica Dietetica y Analisis Sensorial,3,primer semestre
3,Tecnica Dietoterapica,3,segundo semestre
3,Evaluacion Nutricional I,3,segundo semestre
3,Economia Familia,3,segundo semestre
3,Psicologia,3,primer semestre
3,Evaluacion Nutricional II,4,primer semestre
3,Educacion Alimentaria Nutricional,4,segundo semestre
3,Nutricion en Salud Publica,4,primer semestre
3,Epidemiologia Nutricional,4,segundo semestre
3,Normas de Calidad y Formulaion de Alimentos,4,primer semestre
3,Planificacion y Alimentacion Institucional,4,segundo semestre
3,Gestion Alimentaria,4,segundo semestre
3,Fisiologia de Deporte,4,primer semestre
3,Metodologia de la Investigacion,4,segundo semestre
3,Informatica III,4,primer semestre
3,Comunicacion Nutricional,5,segundo semestre
3,Toxicologia de los Alimentos,5,segundo semestre
3,Nutricion Deportiva,5,primer semestre
3,Nutricion en Geriatria,5,primer semestre
3,Etica y Bioetica,5,primer semestre
3,Practica Final Obligatoria,5,anual
3,Trabajo Final,5,anual
3,Optativa I,5,primer semestre
3,Optativa II,5,primer semestre
4,Anatomia,1,primer semestre
4,Histologia y Embriologia,1,primer semestre
4,Fisica Biologica,1,primer semestre
4,Psicologia de la Personalidad y Evolutiva,1,primer semestre
4,Fundamentos de Administracion,1,primer semestre
4,Fisiologia,1,segundo semestre
4,Quimica Biologica,1,segundo semestre
4,Etica Profesional,1,segundo semestre
4,Fundamentos de Radiologia,1,segundo semestre
4,Microbiologia y Epidemiologia,1,anual
4,Tecnicas Sanitarias,1,anual
4,Psicologia Aplicada,2,primer semestre
4,Patologia Medica,2,segundo semestre
4,Farmacologia,2,anual
4,Tecnicas Radiologicas I,2,anual
4,Fisica Radiologica,2,anual
